Code	Title	Price
NHIA-183-020	NHIA-183-020 - a) Microscopy	700.00
NHIA-183-021	NHIA-183-021 - b) Gram stain (where applicable)	840.00
NHIA-183-022	NHIA-183-022 - c) Culture & Sensitivity	1400.00
NHIA-183-023	NHIA-183-023 - a) Snip (microfilaria)	840.00
NHIA-183-024	NHIA-183-024 - b) Microscopy (KOH mount)	840.00
NHIA-183-025	NHIA-183-025 - c) Scraping For Fungal Element (Culture)	1680.00
NHIA-183-026	NHIA-183-026 - c) Mantoux test	1330.00
NHIA-184-001	NHIA-184-001 - VDRL	980.00
NHIA-184-002	NHIA-184-002 - Rheumatoid Factor	840.00
NHIA-184-003	NHIA-184-003 - Anti-Streptolysin O Titre (ASO Titre)	980.00
NHIA-184-004	NHIA-184-004 - Hepatitis B Surface Antigen (HbsAg)	1400.00
NHIA-184-005	NHIA-184-005 - Hepatitis B Confirmatory Test (Core Antigen)	4200.00
NHIA-184-006	NHIA-184-006 - Hepatitis A (IgM)	4200.00
NHIA-184-007	NHIA-184-007 - HbcAg/HbeAg	4200.00
NHIA-184-008	NHIA-184-008 - Hepatitis B DNA Viral Load	28000.00
NHIA-184-009	NHIA-184-009 - HIV Screening	2450.00
NHIA-184-010	NHIA-184-010 - HIV Confirmatory Test	6790.00
NHIA-184-011	NHIA-184-011 - a) CD4 Count	5810.00
NHIA-184-012	NHIA-184-012 - b) HIV Viral load	7770.00
NHIA-184-013	NHIA-184-013 - Hepatitis C Antibody (HCVAb)	4900.00
NHIA-184-014	NHIA-184-014 - Hepatitis C RNA Viral Load*	16100.00
NHIA-184-015	NHIA-184-015 - Hepatitis C RNA Viral Load (GeneXpert PCR) *	14000.00
NHIA-184-016	NHIA-184-016 - Hepatitis C Genotype	2000.00
NHIA-184-017	NHIA-184-017 - Serum Tuberculosis Antigen	3500.00
NHIA-184-018	NHIA-184-018 - Chlamydia Antigen	3500.00
NHIA-184-019	NHIA-184-019 - Herpes Simplex 1 & 11 Antigen	4550.00
NHIA-184-020	NHIA-184-020 - Toxoplasma Gondii	4130.00
NHIA-184-021	NHIA-184-021 - Rubella	3500.00
NHIA-184-022	NHIA-184-022 - Helicobacter Pylori	2800.00
NHIA-184-023	NHIA-184-023 - Infectious Mononucleosis	4130.00
NHIA-184-024	NHIA-184-024 - C-Reactive Protein	3710.00
NHIA-184-025	NHIA-184-025 - Antibody screening	2800.00
NHIA-184-026	NHIA-184-026 - Cytomegalovirus (CMV) (Qualitative)	4550.00
NHIA-185-001	NHIA-185-001 - a) Small	7350.00
NHIA-185-002	NHIA-185-002 - b) Multiple	10010.00
NHIA-185-003	NHIA-185-003 - Bone Tissues (Special stains)	10010.00
NHIA-185-004	NHIA-185-004 - Lymph Nodes Biopsy	7350.00
NHIA-185-005	NHIA-185-005 - Pap Smear	5600.00
NHIA-185-006	NHIA-185-006 - Fine Needle Aspiration (FNA)	5880.00
NHIA-185-007	NHIA-185-007 - Nasal Smear Cytology	3500.00
