Code	Title	Price
NHIA-052-007	NHIA-052-007 - Grafting of minor amputation	35000.00
NHIA-053-001	NHIA-053-001 - Closed Reduction of Fracture	42000.00
NHIA-053-002	NHIA-053-002 - Drainage of Septic Arthritis	42000.00
NHIA-053-003	NHIA-053-003 - Exostectomy/Bunionectomy	42000.00
NHIA-053-004	NHIA-053-004 - Saucerization of Chronically Infected Bone	42000.00
NHIA-053-005	NHIA-053-005 - Sequestrectomy	42000.00
NHIA-053-006	NHIA-053-006 - Simple Congenital Talipes Repair	42000.00
NHIA-053-007	NHIA-053-007 - Skin Traction (Application)	4200.00
NHIA-053-008	NHIA-053-008 - Subperiosteal Drainage of Acute Osteomyelitis	35000.00
NHIA-053-009	NHIA-053-009 - Surgical Correction of Dupuytren's Contracture	35000.00
NHIA-053-010	NHIA-053-010 - Syndactylysis	21000.00
NHIA-053-011	NHIA-053-011 - Pollicization of The Index Finger	42000.00
NHIA-053-012	NHIA-053-012 - Carpal Tunnel Release	98000.00
NHIA-054-025	NHIA-054-025 - Removal of Implant	98000.00
NHIA-054-001	NHIA-054-001 - Amputation and Disarticulation of Joints	140000.00
NHIA-054-002	NHIA-054-002 - Amputation and Limb Substitution	140000.00
NHIA-054-003	NHIA-054-003 - Anterior and Posterior Spine Fixation	140000.00
NHIA-054-004	NHIA-054-004 - Arthrodesis	140000.00
NHIA-054-005	NHIA-054-005 - Arthroplasty	140000.00
NHIA-054-006	NHIA-054-006 - Arthrotomy (+ Synovectomy)	140000.00
NHIA-054-007	NHIA-054-007 - Bone Grafting	35000.00
NHIA-054-008	NHIA-054-008 - Foot	140000.00
NHIA-054-009	NHIA-054-009 - Fore- Arm	140000.00
NHIA-054-010	NHIA-054-010 - Hand	140000.00
NHIA-054-011	NHIA-054-011 - Leg	140000.00
NHIA-054-012	NHIA-054-012 - Pectoral Girdle	140000.00
NHIA-054-013	NHIA-054-013 - Pelvic Girdle	140000.00
